SKU,Order,Delivery Date,Description
6883056,7998299,2014-04-23,Tide_Naturals Detergent Powder  Lemon  Chandan
6883056,6609767,2014-08-22,Tide_Naturals Detergent Powder  Lemon  Chandan
6883056,7963892,2014-05-05,Tide_Naturals Detergent Powder  Lemon  Chandan
6883056,7883032,2014-06-15,Tide_Naturals Detergent Powder  Lemon  Chandan
6883056,6474677,2014-09-25,Tide_Naturals Detergent Powder  Lemon  Chandan
15668519,6464624,2014-09-22,DAILY BREAD_Bread  Sandwich
15668519,6744970,2014-07-16,DAILY BREAD_Bread  Sandwich
15668519,7990063,2014-05-15,DAILY BREAD_Bread  Sandwich
15668519,6653530,2014-07-28,DAILY BREAD_Bread  Sandwich
15668519,6599006,2014-08-19,DAILY BREAD_Bread  Sandwich
15668519,6548513,2014-09-10,DAILY BREAD_Bread  Sandwich
15668519,6709005,2014-07-25,DAILY BREAD_Bread  Sandwich
15668519,6582477,2014-09-02,DAILY BREAD_Bread  Sandwich
15668519,7945994,2014-05-23,DAILY BREAD_Bread  Sandwich
15668519,6616124,2014-08-24,DAILY BREAD_Bread  Sandwich
15668519,6566380,2014-08-29,DAILY BREAD_Bread  Sandwich
15668519,6553571,2014-09-11,DAILY BREAD_Bread  Sandwich
15668519,6490335,2014-09-12,DAILY BREAD_Bread  Sandwich
15668519,6529505,2014-09-05,DAILY BREAD_Bread  Sandwich
15668519,7911721,2014-06-03,DAILY BREAD_Bread  Sandwich
15668519,6692216,2014-07-21,DAILY BREAD_Bread  Sandwich
15668519,6710580,2014-07-26,DAILY BREAD_Bread  Sandwich
15668519,6590910,2014-08-16,DAILY BREAD_Bread  Sandwich
15668519,8018522,2014-05-01,DAILY BREAD_Bread  Sandwich
15668519,6629492,2014-08-08,DAILY BREAD_Bread  Sandwich
15668519,7954249,2014-05-26,DAILY BREAD_Bread  Sandwich
15668519,8058724,2014-04-21,DAILY BREAD_Bread  Sandwich
15668519,8009949,2014-04-29,DAILY BREAD_Bread  Sandwich
15668519,6577703,2014-09-01,DAILY BREAD_Bread  Sandwich
15668519,6434174,2014-10-03,DAILY BREAD_Bread  Sandwich
15668519,6608759,2014-08-22,DAILY BREAD_Bread  Sandwich
15668519,6709142,2014-07-25,DAILY BREAD_Bread  Sandwich
15668519,6505380,2014-09-15,DAILY BREAD_Bread  Sandwich
15668519,6650022,2014-08-15,DAILY BREAD_Bread  Sandwich
15668519,6709712,2014-07-26,DAILY BREAD_Bread  Sandwich
15668519,6731014,2014-07-13,DAILY BREAD_Bread  Sandwich
15668519,8053395,2014-04-19,DAILY BREAD_Bread  Sandwich
15668519,6730368,2014-07-12,DAILY BREAD_Bread  Sandwich
15668519,6787922,2014-06-20,DAILY BREAD_Bread  Sandwich
